fecha_inscripcion_adopcion,fecha_nacimiento,genero,subtipo_adopcion
2018-01-03 09:22:53,1988-02-15 00:00:00,Masculino,Adopción Plena
2018-01-03 12:00:45,2012-01-25 00:00:00,Femenino,Adopción Plena
2018-01-04 11:24:16,2012-04-17 00:00:00,Femenino,Adopción Plena
2018-01-04 12:01:37,2004-12-23 00:00:00,Masculino,Adopción Plena
2018-01-04 12:48:04,1993-05-13 00:00:00,Masculino,Adopción Plena
2018-01-04 13:10:16,2000-11-10 00:00:00,Masculino,Adopción Simple
2018-01-04 13:34:27,2004-11-26 00:00:00,Masculino,Adopción Plena
2018-01-09 09:42:24,2002-01-26 00:00:00,Masculino,Adopción Plena
2018-01-10 13:24:14,2010-09-29 00:00:00,Femenino,Adopción Plena
2018-01-17 13:00:44,2006-11-14 00:00:00,Masculino,Adopción Plena
2018-01-22 18:09:01,2003-04-07 00:00:00,Femenino,Adopción Simple
2018-01-24 16:19:45,1997-08-28 00:00:00,Femenino,Adopción Simple
2018-02-05 09:22:01,2013-11-18 00:00:00,Masculino,Adopción Simple
2018-02-07 11:19:50,2000-12-26 00:00:00,Femenino,Adopción Plena
2018-02-07 12:26:54,2000-04-27 00:00:00,Femenino,Adopción Plena
2018-02-08 10:17:02,1994-09-03 00:00:00,Femenino,Adopción Plena
2018-02-14 10:37:58,2010-06-14 00:00:00,Masculino,Adopción Plena
2018-02-14 12:31:45,1982-11-14 00:00:00,Femenino,Adopción Plena
2018-02-15 10:43:30,2013-10-26 00:00:00,Femenino,Adopción Plena
2018-02-15 11:19:21,2010-06-14 00:00:00,Masculino,Adopción Simple
2018-02-15 11:38:22,2010-06-14 00:00:00,Masculino,Adopción Simple
2018-02-16 15:06:00,1985-01-09 00:00:00,Masculino,Adopción Simple
2018-02-19 10:52:30,2009-07-23 00:00:00,Femenino,Adopción Plena
2018-02-20 14:07:01,1996-09-20 00:00:00,Masculino,Adopción Plena
2018-02-20 14:32:37,1998-02-15 00:00:00,Femenino,Adopción Plena
2018-02-20 14:44:42,2000-11-29 00:00:00,Femenino,Adopción Plena
2018-02-21 11:38:31,2011-03-05 00:00:00,Masculino,Adopción Plena
2018-02-21 11:46:38,2013-06-11 00:00:00,Masculino,Adopción Plena
2018-02-22 09:39:24,2007-11-07 00:00:00,Masculino,Adopción Plena
2018-02-26 12:17:13,2007-09-27 00:00:00,Masculino,Adopción Simple
2018-02-26 12:28:09,2010-02-26 00:00:00,Femenino,Adopción Simple
2018-02-26 14:58:11,2005-04-01 00:00:00,Masculino,Adopción Plena
2018-02-27 09:37:51,1986-11-10 00:00:00,Femenino,Adopción Simple
2018-02-28 11:01:03,2009-08-17 00:00:00,Femenino,Adopción Plena
2018-03-01 11:08:46,2013-05-26 00:00:00,Femenino,Adopción Plena
2018-03-05 15:16:33,2002-11-06 00:00:00,Femenino,Adopción Plena
2018-03-05 15:27:34,1998-04-12 00:00:00,Femenino,Adopción Plena
2018-03-06 14:15:18,2000-02-10 00:00:00,Femenino,Adopción Plena
2018-03-06 14:43:22,2005-05-23 00:00:00,Femenino,Adopción Plena
2018-03-08 13:01:52,1993-08-24 00:00:00,Masculino,Adopción Plena
2018-03-09 11:43:32,2003-08-10 00:00:00,Masculino,Adopción Plena
2018-03-09 11:55:45,2005-09-18 00:00:00,Femenino,Adopción Plena
2018-03-14 15:21:56,2003-03-11 00:00:00,Femenino,Adopción Plena
2018-03-16 12:41:14,2005-08-03 00:00:00,Femenino,Adopción Plena
2018-03-16 14:46:15,2002-07-30 00:00:00,Femenino,Adopción Plena
2018-03-16 15:17:42,2009-02-10 00:00:00,Masculino,Adopción Plena
2018-03-16 15:19:31,2004-07-20 00:00:00,Femenino,Adopción Plena
2018-03-22 10:35:45,2014-03-09 00:00:00,Femenino,Adopción Plena
2018-03-27 11:17:18,2015-06-29 00:00:00,Femenino,Adopción Plena
2018-03-27 12:52:17,2009-05-29 00:00:00,Femenino,Adopción Plena
2018-04-03 10:10:11,2007-02-23 00:00:00,Femenino,Adopción Plena
2018-04-03 11:43:36,2015-04-21 00:00:00,Masculino,Adopción Plena
2018-04-10 10:34:30,1988-01-25 00:00:00,Masculino,Adopción Simple
2018-04-10 11:06:08,2001-12-27 00:00:00,Masculino,Adopción Plena
2018-04-10 13:05:59,2001-11-13 00:00:00,Femenino,Adopción Plena
